instance_id,status,polling_ms,started_at,last_seen_at,market_id
99b67c89-ee4c-4a16-91a5-9f32def06aea,running,10000,2026-01-19 19:07:08.683962+00,2026-01-19 19:07:08.683962+00,859d7ee2-56de-4f16-89b7-bdfba5b80d2a
c39be892-f968-4481-a4d8-c6b70d721418,stopped,10000,2026-01-19 18:40:08.220191+00,2026-01-19 18:40:08.362636+00,adba8009-c460-4b3e-bf88-5936b1bf6c94
b8f20690-ef65-4914-870b-f67d6bb7749c,stopped,10000,2026-01-19 18:32:32.233976+00,2026-01-19 18:32:32.427136+00,c4d068bb-59b7-4476-ad5e-7ff327ceddac
ab114906-135e-4e77-a0a4-4e290334eeff,stopped,10000,2026-01-19 22:22:49.772181+00,2026-01-19 22:22:49.896116+00,e120c445-37fc-47e1-a65d-5cedf945bf5d
